date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:23:50	116/116	---MCZ	200	added ('OK')	text/plain	date:Sat,%2016%20Jul%202022%2023:55:16%20GMT	https://oshinewptheme.com/robots.txt		(from )
02:23:51	103461/103461	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2001:23:47%20GMT	https://oshinewptheme.com/v22/	C:/My%20Web%20Sites/oshiewptheme/oshinewptheme.com/v22/index.html	(from )
02:23:51	5014/5014	---M-Z	200	added ('OK')	application/javascript	etag:%225d420a2e778d0a3a0b9af1ba8c9cb0da%22	https://oshinewptheme.com/cdn-cgi/apps/head/ZcKBGpuGsKB_Drv7wiWR2A52BcE.js	C:/My%20Web%20Sites/oshiewptheme/oshinewptheme.com/cdn-cgi/apps/head/ZcKBGpuGsKB_Drv7wiWR2A52BcE.js	(from https://oshinewptheme.com/v22/)
02:23:52	2785/2785	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2024%20Oct%202019%2018:54:19%20GMT	https://oshinewptheme.com/v22/feed/	C:/My%20Web%20Sites/oshiewptheme/oshinewptheme.com/v22/feed/index.html	(from https://oshinewptheme.com/v22/)
02:23:52	2009/2009	---MCZ	200	added ('OK')	application/rss+xml	date:Wed,%2020%20Apr%202016%2014:18:17%20GMT	https://oshinewptheme.com/v22/comments/feed/	C:/My%20Web%20Sites/oshiewptheme/oshinewptheme.com/v22/comments/feed/index.html	(from https://oshinewptheme.com/v22/)
02:23:53	41045/41045	---MCZ	200	added ('OK')	text/css	etag:W/%225ee100b8-a055%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-includes/css/dist/block-library/style.min.css?ver=5.3.12	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-includes/css/dist/block-library/style.mincd2e.css	(from https://oshinewptheme.com/v22/)
02:23:53	146719/146719	---MCZ	200	added ('OK')	text/css	etag:W/%22624c2bb5-23d1f%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/oshine-modules/public/css/oshine-modules.min.css?ver=3.2	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/oshine-modules/public/css/oshine-modules.mincf1b.css	(from https://oshinewptheme.com/v22/)
02:23:54	57762/57762	---MCZ	200	added ('OK')	text/css	etag:W/%225db1911c-e1a2%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.3	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/revslider/public/assets/css/rs66fb3.css	(from https://oshinewptheme.com/v22/)
02:23:54	98/98	---M--	200	added ('OK')	text/css	etag:%22624be0a9-62%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/tatsu/includes/typehub/public/css/typehub-public.css?ver=2.0.6	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/tatsu/includes/typehub/public/css/typehub-public1717.css	(from https://oshinewptheme.com/v22/)
02:23:54	153793/153793	---MCZ	200	added ('OK')	text/css	etag:W/%22624be0a9-258c1%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/tatsu/public/css/tatsu.min.css?ver=3.3.13	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/tatsu/public/css/tatsu.min477e.css	(from https://oshinewptheme.com/v22/)
02:23:54	34770/34770	---MCZ	200	added ('OK')	text/css	etag:W/%225fb2707c-87d2%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/fonts/icomoon/style.min.css?ver=6.9.4	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/fonts/icomoon/style.minb34e.css	(from https://oshinewptheme.com/v22/)
02:23:55	37406/37406	---MCZ	200	added ('OK')	text/css	etag:W/%22624be0a9-921e%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/tatsu/includes/icons/font_awesome/font-awesome.css?ver=5.3.12	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/tatsu/includes/icons/font_awesome/font-awesomecd2e.css	(from https://oshinewptheme.com/v22/)
02:23:55	42428/42428	---MCZ	200	added ('OK')	text/css	etag:W/%22624be0a9-a5bc%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/tatsu/includes/icons/tatsu_icons/tatsu-icons.css?ver=5.3.12	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/plugins/tatsu/includes/icons/tatsu_icons/tatsu-iconscd2e.css	(from https://oshinewptheme.com/v22/)
02:23:55	2655/2655	---MCZ	200	added ('OK')	text/css	etag:W/%225fb2707c-a5f%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/bb-press/bb-press.css?ver=5.3.12	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/bb-press/bb-presscd2e.css	(from https://oshinewptheme.com/v22/)
02:23:55	112446/112446	---MCZ	200	added ('OK')	text/css	etag:W/%225fb2707c-1b73e%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/css/main.min.css?ver=6.9.4	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/css/main.minb34e.css	(from https://oshinewptheme.com/v22/)
02:23:56	13691/13691	---MCZ	200	added ('OK')	text/css	etag:W/%225fb2707c-357b%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/css/headers/top-header.min.css?ver=6.9.4	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/css/headers/top-header.minb34e.css	(from https://oshinewptheme.com/v22/)
02:23:56	1134/1134	---MCZ	200	added ('OK')	text/css	etag:W/%225fb2707c-46e%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/css/headers/responsive-header.min.css?ver=6.9.4	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/css/headers/responsive-header.minb34e.css	(from https://oshinewptheme.com/v22/)
02:23:56	12915/12915	---MCZ	200	added ('OK')	text/css	etag:W/%225fb2707c-3273%22	https://21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/css/headers/multilevel-menu.min.css?ver=6.9.4	C:/My%20Web%20Sites/oshiewptheme/21g6p436jemo16mo9n1a25yq-wpengine.netdna-ssl.com/v22/wp-content/themes/oshin/css/headers/multilevel-menu.minb34e.css	(from https://oshinewptheme.com/v22/)
